ZINC_ID,standard_smiles
ZINC_179,CCCOc1ccc(-c2cccc3cncnc23)cc1
ZINC_180,CCCOc1ccc(-c2ccc(C)c(NC(C)=O)c2)cc1
ZINC_181,CCCOc1ccc(-c2ccc3c(c2)NC(=O)N(C)C3)cc1
ZINC_182,CCCOc1ccc(-c2ccc3c(c2)C2(CC2)C(=O)N3)cc1
ZINC_183,CCCOc1ccc(-c2cccc(C)c2OC)cc1
ZINC_184,CCCOc1ccc(-c2cccc3c2ncn3C)cc1
ZINC_185,CCCOc1ccc(-c2cc(F)c3nccnc3c2)cc1
ZINC_186,CCCOc1ccc(-c2cnc3c(c2)CCC3)cc1
ZINC_187,CCCOc1ccc(-c2cccc3c2C2(CC2)C(=O)N3)cc1
ZINC_188,CCCOc1ccc(-c2ccc3c(N)ccnc3c2)cc1
ZINC_189,CCCOc1ccc(-c2ccc(NC(C)=O)cc2C)cc1
ZINC_190,CCCOc1ccc(-c2cccc3oncc23)cc1
ZINC_191,CCCOc1ccc(-c2cccc3cnncc23)cc1
ZINC_192,CCCOc1ccc(-c2ccc(C3(N)CCC3)cc2)cc1
ZINC_193,CCCOc1ccc(-c2ccc3nc(N)sc3c2)cc1
ZINC_194,CCCOc1ccc(-c2cc(F)cc3nccnc23)cc1
ZINC_195,CCCOc1ccc(-c2cnc3scnc3c2)cc1
ZINC_196,CCCOc1ccc(-c2cnc3ncccc3c2)cc1
ZINC_197,CCCOc1ccc(-c2cc(C(=O)OCC)cnc2C)cc1
ZINC_198,CCCOc1ccc(-c2cccc(C3(C)OCCO3)c2)cc1
ZINC_199,CCCOc1ccc(-c2ccc3ncncc3c2)cc1
ZINC_200,CCCOc1ccc(-c2cncnc2C(C)(C)C)cc1
ZINC_201,CCCOc1ccc(-c2ccc3nnc(C(C)C)n3c2)cc1
ZINC_202,CCCOc1ccc(-c2cnc3ccoc3c2)cc1
ZINC_203,CCCOc1ccc(-c2cc(C)c3c(c2)CCC(=O)N3)cc1
ZINC_204,CCCOc1ccc(-c2cccc3c2CCC(=O)N3)cc1
ZINC_205,CCCOc1ccc(-c2cc3[nH]cnc3cc2OC)cc1
ZINC_206,CCCOc1ccc(-c2cc(C)c3nccn3c2)cc1
ZINC_207,CCCOc1ccc(-c2ccn(C3CCC3)c(=O)c2)cc1
ZINC_208,CCCOc1ccc(-c2ncccc2C2CC2)cc1
ZINC_209,COCCOc1ccc(-c2ccc(C(C)(C)C)cn2)cc1
ZINC_210,CCCOc1ccc(-c2cccc(OC(C)=O)c2)cc1
ZINC_211,CCCOc1ccc(-c2ccc3ncoc3c2)cc1
ZINC_212,CCCOc1ccc(-c2cccc3c2NC(=O)C32CC2)cc1
ZINC_213,CCCOc1ccc(-c2ccc3[nH]cnc3c2C)cc1
ZINC_214,CCCOc1ccc(-c2cc(C)ccc2NC(C)=O)cc1
ZINC_215,CCCOc1ccc(-c2ccc3c(c2)NC(=O)C32CC2)cc1
ZINC_216,CCCOc1ccc(-c2cccc3c2C(C)(C)C(=O)N3)cc1
ZINC_217,CCCOc1ccc(-c2cnc3[nH]cc(F)c3c2)cc1
ZINC_218,CCCOc1ccc(-c2cn3ccnc3cc2C)cc1
ZINC_219,CCCOc1ccc(-c2ccccc2CCC(=O)OC)cc1
ZINC_220,CCCOc1ccc(-c2ccccc2C2OCCO2)cc1
ZINC_221,CCCOc1ccc(-c2cncc(CN3CCCC3)c2)cc1
ZINC_222,CCCOc1ccc(-c2ccc3nc(N)ccc3c2)cc1
ZINC_223,CCCOc1ccc(-c2cnc3ccncc3c2)cc1
ZINC_224,CCCOc1ccc(-c2ccc([C@@H]3CCNC3)cc2)cc1
ZINC_225,CCCOc1ccc(-c2ccc([C@H]3CCNC3)cc2)cc1
ZINC_226,CCCOc1ccc(-c2c(C)cccc2OC)cc1
ZINC_227,CCCOc1ccc(-c2ccc(C(F)F)nc2)cc1
ZINC_228,CCCOc1ccc(-c2ccc3cnc(C)nc3c2)cc1
ZINC_229,CCCOc1ccc(-c2ccccc2C2(N)CC2)cc1
ZINC_230,CCCOc1ccc(-c2ccnc3[nH]c(C)cc23)cc1
ZINC_231,CCCOc1ccc(-c2ccc(OC)c(CN(C)C)c2)cc1
ZINC_232,CCCOc1ccc(-c2cncc(C(F)F)c2)cc1
ZINC_233,CCCOc1ccc(-c2cccc(C3(N)CCC3)c2)cc1
ZINC_234,CCCOc1ccc(-c2ccc3oc(=O)ccc3c2)cc1
ZINC_235,CCCOc1ccc(-c2ccnc3c2ccn3C)cc1
ZINC_236,CCCOc1ccc(-c2cccc3c2CN(C)C(=O)N3)cc1
ZINC_237,CCCOc1ccc(-c2ccc3oncc3c2)cc1
ZINC_238,CCCOc1ccc(-c2cccnc2C(F)F)cc1
ZINC_239,CCCOc1ccc(-c2ccnc(C3CC3)c2)cc1
ZINC_240,CCCOc1ccc(-c2cccc(C3(N)CC3)c2)cc1
ZINC_241,CCCOc1ccc(-c2cccc(C(C)(C)N)c2)cc1
ZINC_242,CCCOc1ccc(-c2cc3[nH]cnc3cc2F)cc1
ZINC_243,COCCOc1ccc(-c2cnc3cc(F)ccc3c2)cc1
ZINC_244,COCCOc1ccc(-c2ccc3[nH]cc(C)c3c2)cc1
ZINC_245,CCc1cc2c(-c3ccc(OCCOC)cc3)nccc2o1
ZINC_246,CCCOc1ccc(-c2cnc3occc3c2)cc1
ZINC_247,CCCOc1ccc(-c2ccc3cnoc3c2)cc1
ZINC_248,CCCOc1ccc(-c2ccc3c(c2)C(C)(C)C(=O)N3)cc1
ZINC_249,CCCOc1ccc(-c2ccc(OC(F)F)nc2)cc1
ZINC_250,CCCOc1ccc(-c2ccnc(OC(F)F)c2)cc1
ZINC_251,COCCOc1ccc(-c2ccc3nc(C)ccc3c2)cc1
