index,Paper,Structure name ,Smiles,Standard Relation,Standard Value,Standard Units,Unnamed: 6,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
158,PMID30934674,Methyl (1-(4-methoxyphenyl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc(OC)cc1,'=',146.91,µM,,GHVKXTPRQZLOJU-UHFFFAOYSA-N,251.115758,um,3.832949,0,COC(=O)N(C)C(C)C(=O)c1ccc(OC)cc1
159,PMID30934674,Methyl (1-(benzo[d][13]dioxol-5-yl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc2c(c1)OCO2,'=',225.46,µM,,RYLDIGKPBVYKMF-UHFFFAOYSA-N,265.095023,um,3.64693,0,COC(=O)N(C)C(C)C(=O)c1ccc2c(c1)OCO2
160,PMID30286669,methyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,COC(=O)C=Cc1ccc(O)c(OC)c1,'=',52.4,µM,,AUJXJFHANFIVKH-UHFFFAOYSA-N,208.073559,um,4.280669,0,COC(=O)C=Cc1ccc(O)c(OC)c1
161,PMID30934674,Methyl ethyl(1-oxo-1-phenylbutan-2-yl)carbamate,CCC(C(=O)c1ccccc1)N(CC)C(=O)OC,'=',273.74,µM,,FTOROFJAXGRBGV-UHFFFAOYSA-N,249.136493,um,3.562662,0,CCC(C(=O)c1ccccc1)N(CC)C(=O)OC
162,PMID30934674,Methyl ethyl(1-oxo-1-phenylpropan-2-yl)carbamate,CCN(C(=O)OC)C(C)C(=O)c1ccccc1,'=',245.33,µM,,BYUUTTSVNOZNLV-UHFFFAOYSA-N,235.120843,um,3.610249,0,CCN(C(=O)OC)C(C)C(=O)c1ccccc1
163,PMID30934674,Methyl methyl(1-(naphthalen-2-yl)-1-oxopropan-2-yl)carbamate ,COC(=O)N(C)C(C)C(=O)c1ccc2ccccc2c1,'=',126.82,µM,,BPBKMIBKFBAQEB-UHFFFAOYSA-N,271.120843,um,3.896812,0,COC(=O)N(C)C(C)C(=O)c1ccc2ccccc2c1
164,PMID30934674,Methyl methyl(1-oxo-1-(m-tolyl)propan-2-yl)carbamate,COC(=O)N(C)C(C)C(=O)c1cccc(C)c1,'=',133.98,µM,,ZJEBKMXTOQOPER-UHFFFAOYSA-N,235.120843,um,3.87296,0,COC(=O)N(C)C(C)C(=O)c1cccc(C)c1
165,PMID30934674,Methyl methyl(1-oxo-1-(p-tolyl)propan-2-yl)carbamate ,COC(=O)N(C)C(C)C(=O)c1ccc(C)cc1,'=',50.63,µM,,QNLDHJVBCKLFTC-UHFFFAOYSA-N,235.120843,um,4.295592,0,COC(=O)N(C)C(C)C(=O)c1ccc(C)cc1
166,PMID30934674,Methyl methyl(1-oxo-1-phenylbutan-2-yl)carbamate ,CCC(C(=O)c1ccccc1)N(C)C(=O)OC,'=',328.86,µM,,RXDIEGQCKNANPR-UHFFFAOYSA-N,235.120843,um,3.482989,0,CCC(C(=O)c1ccccc1)N(C)C(=O)OC
167,PMID30160188,N-((1-benzylpiperidin-4-yl)methyl)-2-(2-hydroxyphenyl)-1Hbenzo[d]imidazole-5-carboxamide,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3O)nc2c1,'=',4.2,µM,,NHPUJOVQISWFHF-UHFFFAOYSA-N,440.221226,um,5.376751,0,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3O)nc2c1
168,PMID30160188,N-((1-benzylpiperidin-4-yl)methyl)-7-methoxy-benzofuran-2-carboxamide,COc1cccc2cc(C(=O)NCC3CCN(Cc4ccccc4)CC3)oc12,'=',19.9,µM,,YRMWPSJCKOKLEX-UHFFFAOYSA-N,378.194343,um,4.701147,0,COc1cccc2cc(C(=O)NCC3CCN(Cc4ccccc4)CC3)oc12
169,PMID30160188,N-((1-benzylpiperidin-4-yl)methyl)benzofuran-2-carboxamide ,O=C(NCC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1,'=',30,µM,,LFFFPMHLKJIHFH-UHFFFAOYSA-N,348.183778,um,4.522879,0,O=C(NCC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1
170,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(2-(1-benzylpiperidin-4-yl)ethyl)-4-oxo-4H-chromene-2-carboxamide ,O=C(CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,'=',1.43,µM,,QRGXEYNWKLZQST-UHFFFAOYSA-N,590.289306,um,5.844664,0,O=C(CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
171,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(3-(1-benzylpiperidin-4-yl)propyl)-4-oxo-4H-chromene-2-carboxamide,O=C(CN(CCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,'=',0.26,µM,,TZWFILGETVVEHP-UHFFFAOYSA-N,604.304956,um,6.585027,1,O=C(CN(CCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
172,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(4-(1-benzylpiperidin-4-yl)butyl)-4-oxo-4H-chromene-2-carboxamide,O=C(CN(CCCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,'=',0.06,µM,,ISCNDFDWIJRPET-UHFFFAOYSA-N,618.320606,um,7.221849,1,O=C(CN(CCCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
