index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
154,PMID31683761,2-(4-Chlorophenyl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,O=Cc1coc2cc3oc(-c4ccc(Cl)cc4)cc3cc2c1=O,21.8,µM,'=',,,MZBHHKHIHVNJQF-UHFFFAOYSA-N,324.018936,um,4.661544,0,O=Cc1coc2cc3oc(-c4ccc(Cl)cc4)cc3cc2c1=O
155,PMID31683761,2-(4-Methoxyphenyl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,COc1ccc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)cc1,9.4,µM,'=',,,XAYKMQRPZRNJNL-UHFFFAOYSA-N,320.068473,um,5.026872,0,COc1ccc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)cc1
156,PMID31683761,2-(35-Dimethoxyphenyl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,COc1cc(OC)cc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)c1,10.8,µM,'=',,,QIIJLGRMAOTRNY-UHFFFAOYSA-N,350.079038,um,4.966576,0,COc1cc(OC)cc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)c1
157,PMID31683761,5-Oxo-2-(p-tolyl)-5H-furo[32-g]chromene-6-carbaldehyde,Cc1ccc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)cc1,12.9,µM,'=',,,AOXRPGAQASPBSA-UHFFFAOYSA-N,304.073559,um,4.88941,0,Cc1ccc(-c2cc3cc4c(=O)c(C=O)coc4cc3o2)cc1
158,PMID31683761,2-(Cyclohex-1-en-1-yl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,O=Cc1coc2cc3oc(C4=CCCCC4)cc3cc2c1=O,22.6,µM,'=',,,VSVIWMXATYMUMV-UHFFFAOYSA-N,294.089209,um,4.645892,0,O=Cc1coc2cc3oc(C4=CCCCC4)cc3cc2c1=O
159,PMID31683761,2-Phenyl-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4ccccc4)cc3cc12,18.4,µM,'=',,,KEHFWYILPPVXRB-UHFFFAOYSA-N,448.103477,um,4.735182,0,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4ccccc4)cc3cc12
160,PMID31683761,2-(3-Fluorophenyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4cccc(F)c4)cc3cc12,7.6,µM,'=',,,SKVONSLWYHHDMW-UHFFFAOYSA-N,466.094055,um,5.119186,0,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4cccc(F)c4)cc3cc12
161,PMID31683761,2-(4-Fluorophenyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one ,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4ccc(F)cc4)cc3cc12,21.2,µM,'=',,,VUMVAJJYTXSGBX-UHFFFAOYSA-N,466.094055,um,4.673664,0,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4ccc(F)cc4)cc3cc12
162,PMID31683761,2-(3-Chlorophenyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4cccc(Cl)c4)cc3cc12,18.3,µM,'=',,,NPIPNWVXYISVFC-UHFFFAOYSA-N,482.064505,um,4.737549,0,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4cccc(Cl)c4)cc3cc12
163,PMID31683761,2-(4-Chlorophenyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4ccc(Cl)cc4)cc3cc12,12.9,µM,'=',,,HCMRLJSAZHCEHQ-UHFFFAOYSA-N,482.064505,um,4.88941,0,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(-c4ccc(Cl)cc4)cc3cc12
164,PMID31683761,2-(4-Methoxyphenyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,COc1ccc(-c2cc3cc4c(=O)c(C=NNc5ccc(C(F)(F)F)cc5)coc4cc3o2)cc1,5.4,µM,'=',,,JJXYJVCUHXNVFT-UHFFFAOYSA-N,478.114042,um,5.267606,0,COc1ccc(-c2cc3cc4c(=O)c(C=NNc5ccc(C(F)(F)F)cc5)coc4cc3o2)cc1
165,PMID31683761,2-(35-Dimethoxyphenyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,COc1cc(OC)cc(-c2cc3cc4c(=O)c(C=NNc5ccc(C(F)(F)F)cc5)coc4cc3o2)c1,34.9,µM,'=',,,CRVUFXLTQVHUAN-UHFFFAOYSA-N,508.124606,um,4.457175,0,COc1cc(OC)cc(-c2cc3cc4c(=O)c(C=NNc5ccc(C(F)(F)F)cc5)coc4cc3o2)c1
166,PMID31683761,2-(4-tolyl)-6-[(4-trifluoromethylphenyl)hydrazonomethyl]furo[32-g]chromen-5-one,Cc1ccc(-c2cc3cc4c(=O)c(C=NNc5ccc(C(F)(F)F)cc5)coc4cc3o2)cc1,10.5,µM,'=',,,CCLRJTFTUVYNTC-UHFFFAOYSA-N,462.119127,um,4.978811,0,Cc1ccc(-c2cc3cc4c(=O)c(C=NNc5ccc(C(F)(F)F)cc5)coc4cc3o2)cc1
167,PMID31683761,2-(Cyclohex-1-en-1-yl)-6-((2-(4-(trifluoromethyl)phenyl)hydrazono)methyl)-5H-furo[32-g]chromen-5-one,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(C4=CCCCC4)cc3cc12,29.8,µM,'=',,,MRWOIYNDENDGOS-UHFFFAOYSA-N,452.134777,um,4.525784,0,O=c1c(C=NNc2ccc(C(F)(F)F)cc2)coc2cc3oc(C4=CCCCC4)cc3cc12
168,PMID31694418, 4-((2-oxo-12-dihydroquinolin-7-yl)oxy)butyl piperidine-1-carbodithioate,O=c1ccc2ccc(OCCCCSC(=S)N3CCCCC3)cc2[nH]1,0.16 ,µM,'=',,,YPSQYTBEQRIXAU-UHFFFAOYSA-N,376.12792,um,6.79588,1,O=c1ccc2ccc(OCCCCSC(=S)N3CCCCC3)cc2[nH]1
169,PMID31694418,5-((2-oxo-12-dihydroquinolin-7-yl)oxy)pentyl piperidine-1-carbodithioate,O=c1ccc2ccc(OCCCCCSC(=S)N3CCCCC3)cc2[nH]1,0.57 ,µM,'=',,,JNYFDNKJQITWIK-UHFFFAOYSA-N,390.14357,um,6.244125,1,O=c1ccc2ccc(OCCCCCSC(=S)N3CCCCC3)cc2[nH]1
170,PMID31694418,6-((2-oxo-12-dihydroquinolin-7-yl)oxy)hexyl piperidine-1-carbodithioate,O=c1ccc2ccc(OCCCCCCSC(=S)N3CCCCC3)cc2[nH]1,0.38 ,µM,'=',,,NKDPOOJCXMTLOQ-UHFFFAOYSA-N,404.15922,um,6.420216,1,O=c1ccc2ccc(OCCCCCCSC(=S)N3CCCCC3)cc2[nH]1
171,PMID31694418,4-((2-oxo-12-dihydroquinolin-7-yl)oxy)butyl 4-methylpiperidine-1-carbodithioate,CC1CCN(C(=S)SCCCCOc2ccc3ccc(=O)[nH]c3c2)CC1,1.21 ,µM,'=',,,XMYWMSLDQFEFES-UHFFFAOYSA-N,390.14357,um,5.917215,0,CC1CCN(C(=S)SCCCCOc2ccc3ccc(=O)[nH]c3c2)CC1
172,PMID31694418,4-((4-methyl-2-oxo-12-dihydroquinolin-7-yl)oxy)butylpiperidine-1-carbodithioate,Cc1cc(=O)[nH]c2cc(OCCCCSC(=S)N3CCCCC3)ccc12,0.76 ,µM,'=',,,FZTUZMCUNDYFNT-UHFFFAOYSA-N,390.14357,um,6.119186,1,Cc1cc(=O)[nH]c2cc(OCCCCSC(=S)N3CCCCC3)ccc12
173,PMID31694418, 4-((34-dimethyl-2-oxo-12-dihydroquinolin-7-yl)oxy)butylpiperidine-1-carbodithioate,Cc1c(C)c2ccc(OCCCCSC(=S)N3CCCCC3)cc2[nH]c1=O,0.39 ,µM,'=',,,QZLIYVRLYDJRNE-UHFFFAOYSA-N,404.15922,um,6.408935,1,Cc1c(C)c2ccc(OCCCCSC(=S)N3CCCCC3)cc2[nH]c1=O
174,PMID31766252,4-Oxo-8-phenyl-4H-furo[23-h]chromene-3-carbaldehyde ,O=Cc1coc2c(ccc3oc(-c4ccccc4)cc32)c1=O,25.1,µM,'=',,,KRCYFCNFYNMJJT-UHFFFAOYSA-N,290.057909,um,4.600326,0,O=Cc1coc2c(ccc3oc(-c4ccccc4)cc32)c1=O
175,PMID31766252,8-(3-Fluorophenyl)-4-oxo-4H-furo[23-h]chromene-3-carbaldehyde ,O=Cc1coc2c(ccc3oc(-c4cccc(F)c4)cc32)c1=O,15.2,µM,'=',,,DJISVEDYWWSMHX-UHFFFAOYSA-N,308.048487,um,4.818156,0,O=Cc1coc2c(ccc3oc(-c4cccc(F)c4)cc32)c1=O
176,PMID31766252,8-(4-Fluorophenyl)-4-oxo-4H-furo[23-h]chromene-3-carbaldehyde ,O=Cc1coc2c(ccc3oc(-c4ccc(F)cc4)cc32)c1=O,30.4,µM,'=',,,ZYXTZFQLYBQIDP-UHFFFAOYSA-N,308.048487,um,4.517126,0,O=Cc1coc2c(ccc3oc(-c4ccc(F)cc4)cc32)c1=O
177,PMID31766252,8-(3-Chlorophenyl)-4-oxo-4H-furo[23-h]chromene-3-carbaldehyde,O=Cc1coc2c(ccc3oc(-c4cccc(Cl)c4)cc32)c1=O,19.8,µM,'=',,,JIZZNBNMTCLDCU-UHFFFAOYSA-N,324.018936,um,4.703335,0,O=Cc1coc2c(ccc3oc(-c4cccc(Cl)c4)cc32)c1=O
178,PMID31766252,8-(4-Chlorophenyl)-4-oxo-4H-furo[23-h]chromene-3-carbaldehyde,O=Cc1coc2c(ccc3oc(-c4ccc(Cl)cc4)cc32)c1=O,27.1,µM,'=',,,QSGZUDMSLAYUMH-UHFFFAOYSA-N,324.018936,um,4.567031,0,O=Cc1coc2c(ccc3oc(-c4ccc(Cl)cc4)cc32)c1=O
